DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
16,1600500,3,1
4,2201601,3,1
9,1252502,3,3
1,1201401,2,3
10,215510,3,4
5,2200300,2,1
28,1552500,2,4
7,1200502,3,2
24,2403001,2,2
26,1401501,2,2
27,1552500,2,1
17,1211200,3,4
20,1651503,2,4
13,1651503,2,3
20,2053000,2,3
11,161186,1,4
21,1201401,2,3
15,265031,3,2
17,1552500,2,5
4,1200001,2,4
21,2601001,2,4
17,1553005,3,2
23,119202,2,2
11,140100,2,4
14,1200001,2,5
6,1200001,2,3
4,1305201,2,1
22,1201401,2,1
25,1552500,2,3
24,1654502,3,1
25,1600500,3,4
16,1552500,2,3
2,265031,3,2
19,2650201,3,4
3,1651503,2,3
26,265025,3,1
18,1402000,3,4
10,1402000,3,4
17,5110,2,4
30,2201601,3,3
3,1651503,2,4
26,1402000,3,1
23,1450502,3,3
20,1651503,2,5
30,1552500,2,4
12,1950500,2,3
26,1200001,2,3
16,9000049,0,3
9,511001,2,2
4,1200501,3,4
11,1601001,3,3
28,160102,3,1
14,215510,3,4
18,1200001,2,4
24,1200501,3,1
29,1402000,3,4
5,1650600,3,1
12,2155003,2,3
3,1451500,2,3
3,1552500,2,2
14,1654000,2,1
21,1651503,2,1
18,1200501,3,1
22,1651503,2,2
26,1654000,2,2
20,1200001,2,2
9,1651503,2,2
29,1450502,3,2
8,1200001,2,1
23,1552500,2,3
16,1553001,3,3
5,1553001,3,3
20,1200502,3,2
15,2601001,2,2
14,1200001,2,1
16,2403005,2,4
21,1552500,2,4
16,1252501,3,4
5,1600500,3,2
13,1651503,2,3
14,1553001,3,3
10,2200300,2,4
4,2052001,2,2
27,1402502,3,1
19,1553001,3,4
1,1651503,2,4
4,2601001,2,1
7,1200001,2,4
28,1200001,2,2
14,265031,3,2
7,1200800,3,3
6,2154002,3,1
27,1552500,2,2
17,1553001,3,3
19,1651503,2,2
30,1552500,2,3
10,2053000,2,1
7,511001,2,3
17,2601001,2,2
